miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	12	3.041405	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.253450	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.253450	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	1.013802	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	0.760351	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.760351	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	13	3.294855	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.253450	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	918	232.667477	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.506901	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	10	2.534504	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	9	2.281054	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	38043	9642.013968	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	1.013802	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.253450	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	2	0.506901	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	7284	1846.132790	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.506901	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	6345	1608.142855	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.253450	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	155	39.284814	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112750-46112774:+	1	0.253450	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.253450	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.253450	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	16	4.055207	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	48	12.165620	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	45	11.405268	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.253450	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	129	32.695103	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	6574	1666.182999	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	7160	1814.704939	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	38314	9710.699029	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	914	231.653675	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	7	1.774153	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	13	3.294855	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	4	1.013802	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112797-46112820:+	1	0.253450	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	14	3.548306	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	23	5.829359	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	17	4.308657	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.506901	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.253450	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.253450	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.506901	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112825:+	1	0.253450	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	6	1.520702	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	16	4.055207	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	85	21.543285	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	3724	943.849329	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1077	272.966092	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	12957	3283.956969	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2253	571.023775	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	0.760351	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.253450	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	10	2.534504	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	3	0.760351	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.253450	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	3	0.760351	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.253450	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.253450	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113763:+	1	0.253450	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	3	0.760351	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	9	2.281054	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	57	14.446673	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.253450	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	2	0.506901	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	35	8.870764	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	36	9.124215	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	109	27.626095	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.253450	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	69	17.488078	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1090	276.260947	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	443	112.278532	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	5612	1422.363704	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	138	34.976157	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	2	0.506901	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539862:+	1	0.253450	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539877-16539900:+	1	0.253450	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	4	1.013802	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	11	2.787955	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	53	13.432872	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	2	0.506901	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539907:+	1	0.253450	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178863:+	2	0.506901	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	6	1.520702	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	2	0.506901	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	7	1.774153	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	159	40.298615	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	145	36.750310	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	612	155.111651	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	41	10.391467	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.253450	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	1	0.253450	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	8	2.027603	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	2	0.506901	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178914:+	5	1.267252	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	142	35.989958	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	508	128.752809	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	2471	626.275964	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	40	10.138016	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178919:+	1	0.253450	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	4	1.013802	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	10	2.534504	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	80	20.276033	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178918:+	2	0.506901	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692772-51692793:+	2	0.506901	N	precursor
hsa-let-7e	hg38:chr19:51692775-51692793:+	1	0.253450	N	precursor
hsa-let-7e	hg38:chr19:51692792-51692814:+	1	0.253450	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692792-51692816:+	1	0.253450	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692810:+	76	19.262231	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	156	39.538264	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	124	31.427851	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	3279	831.063896	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	3950	1001.129122	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	30331	7687.404402	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	995	252.183158	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	169	42.833119	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692814:+	2	0.506901	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	3	0.760351	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	1	0.253450	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692817:+	6	1.520702	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692796-51692815:+	1	0.253450	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692835-51692857:+	1	0.253450	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692836-51692856:+	1	0.253450	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692836-51692857:+	1	0.253450	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692836-51692858:+	1	0.253450	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692856:+	1	0.253450	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692857:+	2	0.506901	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	16	4.055207	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	22	5.575909	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	48	12.165620	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	7	1.774153	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692861:+	1	0.253450	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692860-51692882:+	1	0.253450	N	precursor
hsa-let-7f-1	hg38:chr9:94176353-94176368:+	1	0.253450	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	1	0.253450	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	49	12.419070	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	126	31.934752	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	101	25.598491	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	6115	1549.849260	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	6790	1720.928287	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	39055	9898.505783	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	121	30.667500	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	13	3.294855	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176379:+	1	0.253450	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176373:+	1	0.253450	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	2	0.506901	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176374:+	1	0.253450	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	1	0.253450	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176373:+	2	0.506901	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176374:+	1	0.253450	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	1	0.253450	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	4	1.013802	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	2	0.506901	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176381:+	1	0.253450	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176382:+	1	0.253450	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	8	2.027603	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	2	0.506901	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	14	3.548306	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557267:-	1	0.253450	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	1786	452.662433	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557269:-	1	0.253450	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557264:-	1	0.253450	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	3	0.760351	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	7	1.774153	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	38826	9840.465639	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	44	11.151818	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557267:-	1	0.253450	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	6861	1738.923267	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	13	3.294855	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557267:-	1	0.253450	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	6214	1574.940851	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557269:-	10	2.534504	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	115	29.146797	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557269:-	1	0.253450	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	125	31.681301	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	57	14.446673	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557252-53557268:-	2	0.506901	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557253-53557268:-	1	0.253450	N	mature,MIMAT0000067
hsa-let-7g	hg38:chr3:52268278-52268301:-	1	0.253450	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268279-52268301:-	3	0.760351	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	133	33.708905	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268302:-	1	0.253450	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268281-52268301:-	4	1.013802	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268282-52268301:-	1	0.253450	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268358:-	83	21.036384	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268354:-	2	0.506901	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	3743	948.664887	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	23	5.829359	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	422	106.956073	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	10	2.534504	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	90	22.810537	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268359:-	3	0.760351	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268358:-	20	5.069008	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268340-52268358:-	6	1.520702	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268341-52268358:-	16	4.055207	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603671-62603691:+	1	0.253450	N	precursor
hsa-let-7i	hg38:chr12:62603691-62603708:+	3	0.760351	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603710:+	5	1.267252	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603711:+	48	12.165620	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	675	171.079027	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	1140	288.933468	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	471	119.375143	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603715:+	2	0.506901	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603712:+	2	0.506901	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603714:+	1	0.253450	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603747-62603766:+	2	0.506901	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603767:+	52	13.179421	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603768:+	70	17.741529	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603769:+	63	15.967376	N	mature,MIMAT0004585
hsa-mir-1-1	hg38:chr20:62554351-62554373:+	5	1.267252	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829015-21829037:-	6	1.520702	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829016-21829037:-	1	0.253450	N	mature,MIMAT0000416
hsa-mir-100	hg38:chr11:122152273-122152297:-	2	0.506901	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152274-122152297:-	3	0.760351	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152296:-	4	1.013802	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152297:-	355	89.974896	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152296:-	15	3.801756	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152297:-	2218	562.153011	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152296:-	1	0.253450	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152297:-	13	3.294855	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152278-122152297:-	3	0.760351	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152279-122152297:-	2	0.506901	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152280-122152297:-	1	0.253450	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152282-122152297:-	1	0.253450	Y	mature,MIMAT0000098
hsa-mir-101-1	hg38:chr1:65058439-65058463:-	1	0.253450	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058461:-	1	0.253450	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058463:-	1377	349.001215	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058464:-	10	2.534504	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058442-65058459:-	1	0.253450	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058442-65058463:-	2321	588.258403	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058442-65058464:-	712	180.456692	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058443-65058460:-	1	0.253450	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058443-65058462:-	2	0.506901	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058443-65058463:-	10770	2729.660921	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058443-65058464:-	5020	1272.321061	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058444-65058463:-	20	5.069008	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058444-65058464:-	10	2.534504	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058444-65058473:-	1	0.253450	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058445-65058463:-	1	0.253450	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058445-65058464:-	16	4.055207	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058446-65058464:-	1	0.253450	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058450-65058473:-	1	0.253450	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058471-65058497:-	2	0.506901	N	mature,MIMAT0004513
hsa-mir-101-1	hg38:chr1:65058477-65058500:-	8	2.027603	N	mature,MIMAT0004513
hsa-mir-101-1	hg38:chr1:65058478-65058500:-	49	12.419070	N	mature,MIMAT0004513
hsa-mir-101-1	hg38:chr1:65058479-65058499:-	1	0.253450	N	mature,MIMAT0004513
hsa-mir-101-1	hg38:chr1:65058479-65058500:-	14	3.548306	N	mature,MIMAT0004513
hsa-mir-101-1	hg38:chr1:65058480-65058500:-	2	0.506901	N	mature,MIMAT0004513
hsa-mir-101-2	hg38:chr9:4850332-4850354:+	1	0.253450	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850341-4850365:+	1	0.253450	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850341-4850366:+	1	0.253450	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850344-4850363:+	9	2.281054	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850344-4850364:+	25	6.336260	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850344-4850365:+	4947	1253.819181	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850344-4850366:+	737	186.792953	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850344-4850367:+	3	0.760351	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850363:+	2	0.506901	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850364:+	27	6.843161	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850365:+	10526	2667.819021	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850366:+	2336	592.060159	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850367:+	1269	321.628571	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850368:+	304	77.048925	N	mature,MIMAT0000099
